SCHLUESSEL;ART;NAME;AMTSBEZEICHNUNG;ANREDE;NAME;STRASSE;PLZ;ORT;TEL;FAX;E-MAIL;WWW
12 0 53 000;kreisfreie Stadt;Frankfurt (Oder);Oberbürgermeister;Herr;René Wilke;Logenstraße 8;15230;Frankfurt (Oder);0335 552-9900;0335 552-1399;oberbuergermeister@frankfurt-oder.de;https://www.frankfurt-oder.de
12 0 64 136;Gemeinde;Fredersdorf-Vogelsdorf;Bürgermeister;Herr;Thomas Krieger;Lindenallee 3;15370;Fredersdorf-Vogelsdorf;033439 835-0;033439 835-100;verwaltung@fredersdorf-vogelsdorf.de;https://www.fredersdorf-vogelsdorf.de
12 0 67 137;Stadt;Friedland;Bürgermeister;Herr;Thomas Hähle;Lindenstraße 13;15848;Friedland;033676 6090;033676 60928;info@friedland-nl.de;http://www.friedland-nl.de
12 0 63 000 02;Amt;Friesack;Amtsdirektor;Herr;Christian Pust;Marktstraße 22;14662;Friesack;033235 42-0;033235 42-850; info@amt-friesack.de ;http://www.amt-friesack.de
12 0 65 084;Stadt;Fürstenberg/Havel;Bürgermeister;Herr;Robert Philipp;Markt 1;16798;Fürstenberg/Havel;033093 34611;033093 32307;info@stadt-fuerstenberg-havel.de;https://www.fuerstenberg-havel.de
12 0 67 144;Stadt;Fürstenwalde/Spree;Bürgermeister;Herr;Matthias Rudolph;Am Markt 4;15517;Fürstenwalde/Spree;03361 5570;03361 557400;stadtverwaltung@fuerstenwalde-spree.de;http://www.fuerstenwalde-spree.de
12 0 73 000 04;Amt;Gartz (Oder);Amtsdirektor;Herr;Frank Gotzmann;Kleine Klosterstraße 153;16307;Gartz (Oder);033332 770;033332 77151;info@gartz.de;https://www.gartz.de
12 0 73 000 05;Amt;Gerswalde;Amtsdirektor;Herr;Andreas Rutter;Dorfmitte 14a;17268;Gerswalde;039887 758-0;039887 758-30;info@amt-gerswalde.de;https://www.amt-gerswalde.de
12 0 65 096;Gemeinde;Glienicke/Nordbahn;Bürgermeister;Herr;Dr. Hans G. Oberlack;Hauptstraße 18-21;16548;Glienicke/Nordbahn;033056 69-0;033056 80369;info@glienicke.eu;https://www.glienicke.eu
12 0 64 000 04;Amt;Golzow;Amtsdirektor;Herr;Lothar Ebert;Seelower Straße 14;15328;Golzow;033472 6690;033472 66913;sekretariat@amt-golzow.de;https://www.amt-golzow.de
12 0 73 000 06;Amt;Gramzow;Amtsdirektor;Herr;Reiner Schulz;Poststraße 25;17291;Gramzow;039861 60010;039861 60060;info@amtgramzow.de;http://www.amt-gramzow.de
12 0 65 000 02;Amt;Gransee und Gemeinden;Amtsdirektor;Herr;Frank Stege;Baustraße 56;16775;Gransee;03306 751101;03306 751102;amtsdirektor@gransee.de;https://www.gransee.de
12 0 69 249;Gemeinde;Groß Kreutz (Havel);Bürgermeister;Herr;Reth Kalsow;Potsdamer Landstraße 49 b;14550;Groß Kreutz (Havel);033207 3510;033207 32363;info@gross-kreutz.de;https://www.gross-kreutz.de
12 0 70 125;Gemeinde;Groß Pankow (Prignitz);Bürgermeister;Herr;Marco Radloff;Steindamm 21;16928;Groß Pankow (Prignitz);033983 7890;033983 78913;mail@grosspankow.de;http://www.grosspankow.de
12 0 72 120;Gemeinde;Großbeeren;Bürgermeister;Herr;Tobias Borstel;Am Rathaus 1;14979;Großbeeren;033701 32880;033701 328866;info@grossbeeren.de;https://www.grossbeeren.de
12 0 66 112;Stadt;Großräschen;Bürgermeister;Herr;Thomas Zenker;Seestraße 16;01983;Großräschen;035753 270;035753 27113;info@grossraeschen.de;https://www.grossraeschen.de
12 0 67 201;Gemeinde;Grünheide (Mark);Bürgermeister;Herr;Arne Christiani;Am Marktplatz 1;15537;Grünheide (Mark);03362 58550;03362 585558;info@gemeinde-gruenheide.de;https://www.gruenheide-mark.de
12 0 71 160;Stadt;Guben;Bürgermeister;Herr;Fred Mahro;Gasstraße 4;03172;Guben;03561 68710;03561 68714000;info@guben.de;https://www.guben.de
12 0 70 149;Gemeinde;Gumtow;Bürgermeister;Herr;Stefan Freimark;Karpatenweg 2;16866;Gumtow;033977 8790;033977 80613;mail@gemeindegumtow.de;http://www.gemeindegumtow.de
12 0 63 000;Landkreis;Havelland;Landrat;Herr;Roger Lewandowski;Platz der Freiheit 1;14712;Rathenow;03385 551-0;03385 551-1555;landkreis@havelland.de;https://www.havelland.de
12 0 61 219;Gemeinde;Heideblick;Bürgermeister;Herr;Frank Deutschmann;Langengrassau Luckauer Straße 61;15926;Heideblick;035454 8810;035454 88188;gemeinde@heideblick.de;https://www.heideblick.de
12 0 61 217;Gemeinde;Heidesee;Bürgermeister;Herr;Björn Langner;Lindenstraße 14b;15754;Heidesee ;033767 7950;033767 79510;post@gemeinde-heidesee.de;http://www.heidesee-online.de
12 0 68 181;Gemeinde;Heiligengrabe;Bürgermeister;Herr;Holger Kippenhahn;Am Birkenwäldchen 1a;16909;Heiligengrabe OT Heiligengrabe;033962 670;033962 67333;gemeinde@heiligengrabe.de;http://www.heiligengrabe.de
12 0 65 136;Stadt;Hennigsdorf;Bürgermeister;Herr;Thomas Günther;Rathausplatz 1;16761;Hennigsdorf;03302 8770;03302 877290;stadtverwaltung@hennigsdorf.de;https://www.hennigsdorf.de
12 0 62 224;Stadt;Herzberg (Elster);Bürgermeister;Herr;Karsten Eule-Prütz;Markt 1;04916;Herzberg (Elster);03535 482-115;03535 482-120;stadtverwaltung@stadt-herzberg.de;https://www.herzberg-elster.de
12 0 65 144;Stadt;Hohen Neuendorf;Bürgermeister;Herr;Steffen Apelt;Oranienburger Straße 2;16540;Hohen Neuendorf;03303 5280;03303 500751;apelt@hohen-neuendorf.de;https://www.hohen-neuendorf.de
12 0 64 227;Gemeinde;Hoppegarten;Bürgermeister;Herr;Sven Siebert;Lindenallee 14;15366;Hoppegarten;03342 393-0;03342 393150;post@gemeinde-hoppegarten.de;https://www.gemeinde-hoppegarten.de
12 0 60 000 06;Amt;Joachimsthal (Schorfheide);Amtsdirektor;Herr;Dirk Protzmann;Joachimsplatz 1-3;16247;Joachimsthal;033361 6460;033361 64623;sekretariat@amt-joachimsthal.de ;https://www.amt-joachimsthal.de
12 0 72 169;Stadt;Jüterbog;Bürgermeister;Herr;Arne Raue;Markt 21;14913;Jüterbog;03372 463 100;03372 463 410;stadtverwaltung@jueterbog.de;https://www.jueterbog.eu
12 0 70 173;Gemeinde;Karstädt;Bürgermeister;Herr;Udo Staeck;Mühlenstraße 1;19357;Karstädt;038797 770;038797 77299;verwaltung@gemeinde-karstaedt.de;https://www.gemeinde-karstaedt.de
12 0 63 148;Stadt;Ketzin/Havel;Bürgermeister;Herr;Bernd Lück;Rathausstraße 7;14669;Ketzin/Havel;033233 720112;033233 720199;info@ketzin.de;https://www.ketzin.de
12 0 62 000 05;Amt;Kleine Elster (Niederlausitz);Amtsdirektor;Herr;Gottfried Richter;Turmstraße 5;03238;Massen-Niederlausitz;03531 7820;03531 702227;info@amt-kleine-elster.de;https://www.amt-kleine-elster.de
12 0 69 304;Gemeinde;Kleinmachnow;Bürgermeister;Herr;Michael Grubert;Adolf-Grimme-Ring 10;14532;Kleinmachnow;033203 877-1301 bis -1304;033203 877-2999;info@kleinmachnow.de;http://www.kleinmachnow.de
12 0 69 306;Gemeinde;Kloster Lehnin;Bürgermeister;Herr;Uwe Brückner;Friedensstraße 3;14797;Kloster Lehnin;03382 73070;03382 730762;kontakt@lehnin.de;https://www.klosterlehnin.de
12 0 71 244;Gemeinde;Kolkwitz;Bürgermeister;Herr;Karsten Schreiber;Berliner Straße 19;03099;Kolkwitz;0355 293000;0355 2930099;gemeinde-kolkwitz@t-online.de;http://www.kolkwitz.de
12 0 61 260;Stadt;Königs Wusterhausen;Bürgermeister;Herr;Swen Ennullat;Schlossstraße 3;15711;Königs Wusterhausen;03375 273 0;03375 273 134;stadtverwaltung@stadt-kw.de;https://www.koenigs-wusterhausen.de
12 0 65 165;Stadt;Kremmen;Bürgermeister;Herr;Sebastian Busse;Am Markt 1;16766;Kremmen;033055 9980;033055 99866;buergermeister@kremmen.de;https://www.kremmen.de
12 0 68 264;Stadt;Kyritz;Bürgermeisterin;Frau;Nora Görke;Marktplatz 1;16866;Kyritz;033971 850;033971 85245;stadtverwaltung@kyritz.de;https://www.kyritz.de
12 0 66 176;Stadt;Lauchhammer;Bürgermeister;Herr;Roland Pohlenz;Liebenwerdaer Straße 69;01979;Lauchhammer;03574 4880;03574 488650;info@lauchhammer.de;http://www.lauchhammer.de
12 0 64 000 06;Amt;Lebus;Amtsdirektor;Herr;Mike Bartsch;Breite Straße 1;15326;Lebus;033604 4450;033604 44513;buerodesamtsdirektors@amt-lebus.de;https://www.amt-lebus.de
12 0 65 180;Gemeinde;Leegebruch;Bürgermeister;Herr;Martin Rother;Birkenallee 1;16767;Leegebruch;03304 24960;03304 249696;gemeinde@leegebruch.de;https://www.leegebruch.de
12 0 70 000 05;Amt;Lenzen-Elbtalaue;Amtsdirektor;Herr;Harald Ziegeler;Kellerstraße 4;19309;Lenzen (Elbe);038792 9880;038792 98860;mail@amtlenzen.de;http://www.amtlenzen.de
12 0 64 274;Gemeinde;Letschin;Bürgermeister;Herr;Michael Böttcher;Bahnhofstraße 30a;15324;Letschin;033475 60590;033475 279;info@letschin.de;https://www.letschin.de
12 0 65 193;Stadt;Liebenwalde;Bürgermeister;Herr;Jörn Lehmann;Marktplatz 20;16559;Liebenwalde;033054 80510;033054 80570;info@liebenwalde.de;https://www.liebenwalde.de
12 0 62 000 31;Verbandsgemeinde;Liebenwerda;Bürgermeister;Herr;Herold Quick;Markt 1;04924;Bad Liebenwerda;035341 1550;;zentrale@vg-liebenwerda.de;
12 0 61 000 13;Amt;Lieberose/Oberspreewald;Amtsdirektor;Herr;Bernd Boschan;Kirchstraße 11;15913;Straupitz;035475 8630;035475 86365;amt@lieberose-oberspreewald.de;https://www.lieberose-oberspreewald.de
12 0 68 000 04;Amt;Lindow (Mark);Amtsdirektor;Herr;Danilo Lieske;Straße des Friedens 20;16835;Lindow (Mark);033933 89630;033933 72907;webmaster@amt-lindow-mark.de;http://www.amt-lindow-mark.de
12 0 65 198;Gemeinde;Löwenberger Land;Bürgermeister;Herr;Bernd-Christian Schneck;Alte Schulstraße 5;16775;Löwenberger Land;033094 6980;033094 69888;info@loewenberger-land.de;https://www.loewenberger-land.de
12 0 61 316;Stadt;Lübben (Spreewald);Bürgermeister;Herr;Lars Kolan;Poststraße 5;15907;Lübben (Spreewald);03546 790;03546 792560;info@luebben.de;https://www.luebben.de
12 0 66 196;Stadt;Lübbenau/Spreewald;Bürgermeister;Herr;Helmut Wenzel;Kirchplatz 1;03222;Lübbenau/Spreewald;03542 850;03542 85500;stadt@luebbenau-spreewald.de;https://www.luebbenau-spreewald.de
12 0 61 320;Stadt;Luckau;Bürgermeister;Herr;Gerald Lehmann ;Am Markt 34;15926;Luckau;03544 5940;03544 2948;stadt@luckau.de;https://www.luckau.de
12 0 72 232;Stadt;Luckenwalde;Bürgermeisterin;Frau;Elisabeth Herzog-von der Heide;Markt 10;14943;Luckenwalde;03371 672221;03371 672270;rathaus@luckenwalde.de;https://www.luckenwalde.de
12 0 72 240;Stadt;Ludwigsfelde;Bürgermeister;Herr;Andreas Igel;Rathausstraße 3;14974;Ludwigsfelde;03378 8270;03378 827124;post@ludwigsfelde.de;https://www.ludwigsfelde.de
12 0 73 384;Stadt;Lychen;Bürgermeisterin;Frau;Karola Gundlach;Am Markt 1;17279;Lychen;039888 605-0;039888 605-29;stadtverwaltung@lychen.de;http://www.lychen.de
12 0 64 000;Landkreis;Märkisch-Oderland;Landrat;Herr;Gernot Schmidt;Puschkinplatz 12;15306;Seelow;03346 850-6001;03346 420;buero_landrat@landkreismol.de;https://www.maerkisch-oderland.de
12 0 61 329;Gemeinde;Märkische Heide;Bürgermeisterin;Frau;Annett Lehmann ;Schlossstraße 13a;15913;Märkische Heide;035471 8510;035471 85117;info@maerkische-heide.de;https://www.maerkische-heide.de
12 0 64 000 08;Amt;Märkische Schweiz;Amtsdirektor;Herr;Marco Böttche;Hauptstraße 1;15377;Buckow (Märkische Schweiz);033433 150-0;033433 150-190;amtsverwaltung@amt-maerkische-schweiz.de;https://amt-maerkische-schweiz.de
12 0 70 000 06;Amt;Meyenburg;Amtsdirektor;Herr;Matthias Habermann;Freyensteiner Straße 42;16945;Meyenburg;033968 8250;033968 82540;mail@amtmeyenburg.de;https://www.amtmeyenburg.de
12 0 69 397;Gemeinde;Michendorf;Bürgermeisterin;Frau;Claudia Nowka;Potsdamer Straße 33;14552;Michendorf;033205 5980;033205 59850;post@michendorf.de;https://www.michendorf.de
12 0 63 189;Gemeinde;Milower Land;Bürgermeister;Herr;Felix Menzel;Friedensstraße 86;14715;Milower Land;03386 27090;03386 270930;gemeinde@milowerland.de;http://www.milowerland.de
12 0 61 332;Stadt;Mittenwalde;Bürgermeisterin;Frau;Maja Buße;Rathausstraße 8;15749;Mittenwalde;033764 8980;033764 89850;post@mittenwalde.de;https://www.mittenwalde.de
12 0 65 225;Gemeinde;Mühlenbecker Land;Bürgermeister;Herr;Filippo Smaldino;Liebenwalder Straße 1;16567;Mühlenbecker Land;033056 8410;033056 84170;gemeinde@muehlenbecker-land.de;https://www.muehlenbecker-land.de
12 0 64 317;Stadt;Müncheberg;Bürgermeisterin;Frau;Dr. Uta Barkusky ;Rathausstraße 1;15374;Müncheberg;033432 81107;033432 81143;rathaus@stadt-muencheberg.de;https://www.stadt-muencheberg.de
12 0 63 208;Stadt;Nauen;Bürgermeister;Herr;Manuel Meger;Rathausplatz 1;14641;Nauen;03321 4080;03321 408216;info@nauen.de;http://www.nauen.de
12 0 63 000 06;Amt;Nennhausen;Amtsdirektorin;Frau;Ilka Lenke;Fouqué-Platz 3;14715;Nennhausen;033878 6490;033878 64928;info@amt-nennhausen.de;https://www.amt-nennhausen.de
12 0 64 336;Gemeinde;Neuenhagen bei Berlin;Bürgermeister;Herr;Ansgar Scharnke;Am Rathaus 1;15366;Neuenhagen bei Berlin;03342 245-500;03342 245-444;gemeinde@neuenhagen-bei-berlin.de;https://www.neuenhagen-bei-berlin.de
12 0 64 000 10;Amt;Neuhardenberg;Amtsdirektorin;Frau;Dr. Grit Brinkmann;Karl-Marx-Allee 72;15320;Neuhardenberg;033476 5950;033476 595300;info@amt-neuhardenberg.de;http://www.amt-neuhardenberg.de
12 0 71 301;Gemeinde;Neuhausen/Spree;Bürgermeister;Herr;Dieter Perko;Amtsweg 1;03058;Neuhausen/Spree;035605 6120;035605 612888;info@neuhausen-spree.de;https://www.neuhausen-spree.de
12 0 68 320;Stadt;Neuruppin;Bürgermeister;Herr;Jens-Peter Golde;Karl-Liebknecht-Straße 33/34;16816;Neuruppin;03391 355 0;03391 355122;stadt@stadtneuruppin.de;https://www.neuruppin.de
12 0 68 000 05;Amt;Neustadt (Dosse);Amtsdirektor;Herr;Dieter Fuchs ;Bahnhofstraße 6;16845;Neustadt (Dosse);033970 950;033970 95223;amt@neustadt-dosse.de;https://www.neustadt-dosse.de
12 0 67 000 05;Amt;Neuzelle;Amtsdirektor;Herr;Hans Georg Köhler;Bahnhofstraße 22;15898;Neuzelle;033652 8350;033652 83535;amt@neuzelle.de;https://www.neuzelle.de
12 0 72 297;Gemeinde;Niedergörsdorf;Bürgermeisterin;Frau;Doreen Boßdorf;Dorfstraße 14f;14913;Niedergörsdorf;033741 6970;033741 72215;hauptamt@niedergoersdorf.de;https://www.gemeinde-niedergoersdorf.de
12 0 69 000 10;Amt;Niemegk;Amtsdirektor;Herr;Thomas Hemmerling ;Großstraße 6;14823;Niemegk;033843 6270;033843 51529;sekretariat@amt-niemegk.de;https://www.amt-niemegk.de
12 0 73 429;Gemeinde;Nordwestuckermark;Bürgermeister;Herr;Roland Klatt;Amtsstraße 8;17291;Nordwestuckermark  OT Schönermark;039852 4790;039852 479214;kontakt@gemeinde-nordwestuckermark.de;https://www.gemeinde-nordwestuckermark.de
12 0 72 312;Gemeinde;Nuthe-Urstromtal;Bürgermeister;Herr;Stefan Scheddin;Frankenfelder Straße 10;14947;Nuthe-Urstromtal;03371 6860;03371 68643;gv@nuthe-urstromtal.de;https://nuthe-urstromtal.de
12 0 69 454;Gemeinde;Nuthetal;Bürgermeisterin;Frau;Ute Hustig;Arthur-Scheunert-Allee 103;14558;Nuthetal;033200 2040;033200 20 444;gemeindeverwaltung@nuthetal.de;https://www.nuthetal.de
12 0 65 000;Landkreis;Oberhavel;Landrat;Herr;Ludger Weskamp;Adolf-Dechert-Straße 1;16515;Oranienburg;03301 601-0;03301 601-111;info@oberhavel.de;https://www.oberhavel.de
12 0 65 251;Gemeinde;Oberkrämer;Bürgermeister;Herr;Peter Leys;Perwenitzer Weg 2;16727;Oberkrämer;03304 39320;03304 393239;info@oberkraemer.de;https://www.oberkraemer.de
12 0 66 000;Landkreis;Oberspreewald-Lausitz;Landrat;Herr;Siegurd Heinze;Dubinaweg 1;01968;Senftenberg;03573 870-0;03573 870-1010;pressestelle@osl-online.de;http://www.osl-online.de
12 0 67 000;Landkreis;Oder-Spree;Landrat;Herr;Rolf Lindemann;Breitscheidstraße 7;15848;Beeskow;03366 35-0;03366 35-1111;buero.landrat@l-os.de;https://www.landkreis-oder-spree.de
12 0 73 000 10;Amt;Oder-Welse;Amtsdirektor;Herr;Detlef Krause;Gutshof 1;16278;Pinnow;033335 7190;033335 71940;ad@amt-oder-welse.de;https://www.amt-oder-welse.de
